subdistrict_id,subdistrict_name,district_id_id
1007,Aliganj,138
1008,Etah,138
1009,Jalesar,138
1010,Kasganj,633
1011,Sahawar,633
1012,Patiyali,633
1013,Sidhaw,211
1014,Ramnagar,211
1015,Gaunaha,211
1016,Mainatanr,211
1017,Narkatiaganj,211
1018,Lauriya,211
1019,Bagaha,211
1020,Piprasi,211
1021,Madhubani,211
1022,Bhitaha,211
1023,Thakrahan,211
1024,Jogapatti,211
1025,Chanpatia,211
1026,Sikta,211
1027,Majhaulia,211
1028,Bettiah,211
1029,Bairia,211
1030,Nautan,211
1031,Raxaul,213
1032,Adapur,213
1033,Ramgarhwa,213
1034,Sugauli,213
1035,Banjaria,213
1036,Narkatia,213
1037,Bankatwa,213
1038,Ghorasahan,213
1039,Dhaka,213
1040,Chiraia,213
1041,Motihari,213
1042,Turkaulia,213
1043,Harsidhi,213
1044,Paharpur,213
1045,Areraj,213
1046,Sangrampur,213
1047,Kesaria,213
1048,Kalyanpur,213
1049,Kotwa,213
1050,Piprakothi,213
1051,Chakia(Pipra),213
1052,Pakri Dayal,213
1053,Patahi,213
1054,Phenhara,213
1055,Madhuban,213
1056,Tetaria,213
1057,Mehsi,213
1058,Purnahiya,220
1059,Piprarhi,220
1060,Sheohar,220
1061,Dumri Katsari,220
1062,Tariani Chowk,220
1063,Bairgania,221
1064,Suppi,221
1065,Majorganj,221
1066,Sonbarsa,221
1067,Parihar,221
1068,Sursand,221
1069,Bathnaha,221
1070,Riga,221
1071,Parsauni,221
1072,Belsand,221
1073,Runisaidpur,221
1074,Dumra,221
1075,Bajpatti,221
1076,Charaut,221
1077,Pupri,221
1078,Nanpur,221
1079,Bokhara,221
1080,Madhwapur,206
1081,Harlakhi,206
1082,Basopatti,206
1083,Jainagar,206
1084,Ladania,206
1085,Laukaha,206
1086,Laukahi,206
1087,Phulparas,206
1088,Babubarhi,206
1089,Khajauli,206
1090,Kaluahi,206
1091,Benipatti,206
1092,Bisfi,206
1093,Madhubani,206
1094,Pandaul,206
1095,Rajnagar,206
1096,Andhratharhi,206
1097,Jhanjharpur,206
1098,Ghoghardiha,206
1099,Lakhnaur,206
1100,Madhepur,206
1101,Nirmali,223
1102,Basantpur,223
1103,Chhatapur,223
1104,Pratapganj,223
1105,Raghopur,223
1106,Saraigarh Bhaptiyahi,223
1107,Kishanpur,223
1108,Marauna,223
1109,Supaul,223
1110,Pipra,223
1111,Tribeniganj,223
1112,Narpatganj,188
1113,Forbesganj,188
1114,Bhargama,188
1115,Raniganj,188
1116,Araria,188
1117,Kursakatta,188
1118,Sikti,188
1119,Palasi,188
1120,Jokihat,188
1121,Terhagachh,203
1122,Dighalbank,203
1123,Thakurganj,203
1124,Pothia,203
1125,Bahadurganj,203
1126,Kochadhamin,203
1127,Kishanganj,203
1128,Banmankhi,214
1129,Barhara,214
1130,Bhawanipur,214
1131,Rupauli,214
1132,Dhamdaha,214
1133,Krityanand Nagar,214
1134,Purnia East,214
1135,Kasba,214
1136,Srinagar,214
1137,Jalalgarh,214
1138,Amour,214
1139,Baisa,214
1140,Baisi,214
1141,Dagarua,214
1142,Falka,201
1143,Korha,201
1144,Hasanganj,201
1145,Kadwa,201
1146,Balrampur,201
1147,Barsoi,201
1148,Azamnagar,201
1149,Pranpur,201
1150,Dandkhora,201
1151,Katihar,201
1152,Mansahi,201
1153,Barari,201
1154,Sameli,201
1155,Kursela,201
1156,Manihari,201
1157,Amdabad,201
1158,Gamharia,205
1159,Singheshwar,205
1160,Ghailarh,205
1161,Madhepura,205
1162,Shankarpur,205
1163,Kumarkhand,205
1164,Murliganj,205
1165,Gwalpara,205
1166,Bihariganj,205
1167,Kishanganj,205
1168,Puraini,205
1169,Alamnagar,205
1170,Chausa,205
1171,Nauhatta,216
1172,Satar Kataiya,216
1173,Mahishi,216
1174,Kahara,216
1175,Saur Bazar,216
1176,Patarghat,216
1177,Sonbarsa,216
1178,Simri Bakhtiarpur,216
1179,Salkhua,216
1180,Banma Itahri,216
1181,Jale,195
1182,Singhwara,195
1183,Keotiranway,195
1184,Darbhanga,195
1185,Manigachhi,195
1186,Tardih,195
1187,Alinagar,195
1188,Benipur,195
1189,Bahadurpur,195
1190,Hanumannagar,195
1191,Hayaghat,195
1192,Baheri,195
1193,Biraul,195
1194,Ghanshyampur,195
1195,Kiratpur,195
1196,Gora Bauram,195
1197,Kusheshwar Asthan,195
1198,Kusheshwar Asthan Purbi,195
1199,Sahebganj,208
1200,Baruraj (Motipur),208
1201,Paroo,208
1202,Saraiya,208
1203,Marwan,208
1204,Kanti,208
1205,Minapur,208
1206,Bochaha,208
1207,Aurai,208
1208,Katra,208
1209,Gaighat,208
1210,Bandra,208
1211,Dholi (Moraul),208
1212,Musahri,208
1213,Kurhani,208
1214,Sakra,208
1215,Katiya,197
1216,Bijaipur,197
1217,Bhorey,197
1218,Pach Deuri,197
1219,Kuchaikote,197
1220,Phulwaria,197
1221,Hathua,197
1222,Uchkagaon,197
1223,Thawe,197
1224,Gopalganj,197
1225,Manjha,197
1226,Barauli,197
1227,Sidhwalia,197
1228,Baikunthpur,197
1229,Nautan,222
1230,Siwan,222
1231,Barharia,222
1232,Goriakothi,222
1233,Lakri Nabiganj,222
1234,Basantpur,222
1235,Bhagwanpur Hat,222
1236,Maharajganj,222
1237,Pachrukhi,222
1238,Hussainganj,222
1239,Ziradei,222
1240,Mairwa,222
1241,Guthani,222
1242,Darauli,222
1243,Andar,222
1244,Raghunathpur,222
1245,Hasanpura,222
1246,Daraundha,222
1247,Siswan,222
1248,Mashrakh,218
1249,Panapur,218
1250,Taraiya,218
1251,Ishupur,218
1252,Baniapur,218
1253,Lahladpur,218
1254,Ekma,218
1255,Manjhi,218
1256,Jalalpur,218
1257,Revelganj,218
1258,Chapra,218
1259,Nagra,218
1260,Marhaura,218
1261,Amnour,218
1262,Maker,218
1263,Parsa,218
1264,Dariapur,218
1265,Garkha,218
1266,Dighwara,218
1267,Sonepur,218
1268,Vaishali,224
1269,Paterhi Belsar,224
1270,Lalganj,224
1271,Bhagwanpur,224
1272,Goraul,224
1273,Chehra Kalan,224
1274,Patepur,224
1275,Mahua,224
1276,Jandaha,224
1277,Raja Pakar,224
1278,Hajipur,224
1279,Raghopur,224
1280,Bidupur,224
1281,Desri,224
1282,Sahdai Buzurg,224
1283,Mahnar,224
1284,Kalyanpur,217
1285,Warisnagar,217
1286,Shivaji Nagar,217
1287,Khanpur,217
1288,Samastipur,217
1289,Pusa,217
1290,Tajpur,217
1291,Morwa,217
1292,Patori,217
1293,Mohanpur,217
1294,Mohiuddinagar,217
1295,Sarairanjan,217
1296,Vidyapati Nagar,217
1297,Dalsinghsarai,217
1298,Ujiarpur,217
1299,Bibhutpur,217
1300,Rosera,217
1301,Singhia,217
1302,Hasanpur,217
1303,Bithan,217
1304,Khudabandpur,191
1305,Chhorahi,191
1306,Garhpura,191
1307,Cheria Bariarpur,191
1308,Bhagwanpur,191
1309,Mansurchak,191
1310,Bachhwara,191
1311,Teghra,191
1312,Barauni,191
1313,Birpur,191
1314,Begusarai,191
1315,Naokothi,191
1316,Bakhri,191
1317,Dandari,191
1318,Sahebpur Kamal,191
1319,Balia,191
